LocationID,Drop_Latitude,Drop_Longitude
339,23300792.0,7750702.0
340,23376260.0,77489608.0
341,22421844.0,73275080.0
342,11004136.0,76973304.0
343,30952872.0,75876808.0
344,13040324.0,77715744.0
345,25509872.0,81896168.0
346,12943041.0,77713240.0
347,26925288.0,75814592.0
348,12964264.0,777284.0
349,18643812.0,74009312.0
350,30945562.0,75872840.0
351,30370722.0,78090224.0
352,1100185.0,77011080.0
353,226391.0,88490464.0
354,19017584.0,72922584.0
355,27023484.0,75913136.0
356,30441280.0,78148024.0
357,15626561.0,73833632.0
358,27041928.0,75927280.0
359,19165832.0,72943984.0
360,18659156.0,73864720.0
361,19250084.0,73037384.0
362,26532420.0,80370936.0
363,25497688.0,81875584.0
364,26960262.0,75833016.0
365,1554315.0,7381346.0
366,17511976.0,78445880.0
367,30953384.0,75881200.0
368,21180798.0,72800488.0
369,10073064.0,76377592.0
370,22360526.0,73220936.0
371,2238279.0,73240280.0
372,13124694.0,8034147.0
373,26504132.0,803781.0
374,2125106.0,72869296.0
375,21259568.0,72882696.0
376,12350972.0,76699264.0
377,30352736.0,78074224.0
378,10067364.0,76348256.0
379,26552106.0,80387800.0
380,23369194.0,85335448.0
381,25583994.0,82000184.0
382,19884104.0,75378416.0
383,25597688.0,81975584.0
384,12397928.0,76677888.0
385,22524120.0,88372504.0
386,18573626.0,73935104.0
387,22823840.0,75967432.0
388,25579660.0,81969744.0
389,22661084.0,88464128.0
390,22804648.0,75954376.0
391,26943726.0,7578282.0
392,13126439.0,80260672.0
393,17471668.0,78448320.0
394,23404878.0,85365736.0
395,2693294.0,75823008.0
396,30945816.0,75863112.0
397,30399722.0,78107080.0
398,26975288.0,75864592.0
399,11151278.0,77125016.0
400,19920256.0,75363504.0
401,23377804.0,85345144.0
402,25509660.0,81899744.0
403,12427928.0,76707888.0
404,30449528.0,78170264.0
405,22791234.0,7592949.0
406,12374022.0,76658200.0
407,12354022.0,76638200.0
408,1747233.0,78509656.0
409,12351214.0,76651096.0
410,2119106.0,72809296.0
411,191693.0,72885448.0
412,15626162.0,73955360.0
413,17520828.0,78473392.0
414,11070375.0,7701295.0
415,12371072.0,76714880.0
416,22862224.0,76004768.0
417,12314747.0,76655864.0
418,25500316.0,81881680.0
419,21285104.0,72914344.0
420,17530852.0,78459344.0
421,19277222.0,73042280.0
422,22401604.0,73255008.0
423,22771856.0,75886696.0
424,26866156.0,758223.0
425,2549235.0,81881888.0
426,12982532.0,77618176.0
427,10072834.0,76373264.0
428,13191878.0,80358520.0
429,19898028.0,75337472.0
430,17495894.0,78415464.0
431,13012161.0,77636016.0
432,30392202.0,78097152.0
433,26623042.0,80457832.0
434,23414422.0,853929.0
435,17508294.0,78484424.0
436,13119645.0,80312272.0
437,11040762.0,77021872.0
438,13032394.0,80252440.0
439,18630016.0,73940544.0
440,11096298.0,77052080.0
441,22855536.0,76003104.0
442,22574688.0,88453296.0
443,19294568.0,72888920.0
444,30945204.0,75872104.0
445,26942328.0,75834256.0
446,191493.0,72865448.0
447,11056686.0,77001736.0
448,26481616.0,80323568.0
449,18606948.0,73960624.0
450,1305041.0,77710488.0
451,11061278.0,77035016.0
452,17488264.0,78447864.0
453,10008483.0,76315208.0
454,19034048.0,72865200.0
455,26609108.0,80445040.0
456,15634419.0,73845736.0
457,23444988.0,85405488.0
458,15536162.0,73865360.0
459,21253492.0,72881952.0
460,22569000.0,88352336.0
461,19266268.0,72926720.0
462,30935816.0,75853112.0
463,12331214.0,76631096.0
464,13052532.0,77688176.0
465,18563626.0,73925104.0
466,23284016.0,77428240.0
467,18672718.0,73853568.0
468,10013064.0,76317592.0
469,30388174.0,78109120.0
470,31032978.0,75961848.0
471,12984179.0,77665800.0
472,25564648.0,81944504.0
473,192513.0,72906192.0
474,1756971.0,78478856.0
475,22637820.0,88460584.0
476,3092286.0,75852200.0
477,23375164.0,85344096.0
478,13136762.0,80321864.0
479,2244279.0,73300280.0
480,2652095.0,80348656.0
481,10042834.0,76343264.0
482,13042394.0,80262440.0
483,19233248.0,72976752.0
484,26846536.0,75917336.0
485,23344460.0,77564976.0
486,13109096.0,77770624.0
487,23426792.0,85326840.0
488,30450722.0,78170224.0
489,13148616.0,80354152.0
490,26901192.0,75812080.0
491,22841592.0,75966360.0
492,17512820.0,78539576.0
493,10041703.0,76343136.0
494,15227944.0,74020888.0
495,22792634.0,75956960.0
